n,A2,D3,D4,E2
2,1.881,--,3.268,2.66
3,1.023,--,2.574,1.772
4,0.729,--,2.282,1.457
5,0.577,--,2.114,1.29
,,,,
6,0.483,--,2.004,1.184
7,0.419,0.076,1.924,1.109
8,0.373,0.136,1.864,1.054
9,0.337,0.184,1.816,1.01
10,0.308,0.223,1.777,0.975
,,,,
11,0.285,0.256,1.744,0.945
12,0.266,0.283,1.717,0.921
13,0.249,0.307,1.693,0.899
14,0.235,0.328,1.672,0.881
15,0.223,0.347,1.653,0.864
